"","accession","species","genus","family","source","accession.version","taxid"
"1491","NC_035066","Taxus baccata","Taxus","Taxaceae","all","NC_035066.1",25629
"1492","NC_035067","Abies sibirica","Abies","Pinaceae","all","NC_035067.1",97169
"1493","NC_035068","Juniperus communis","Juniperus","Cupressaceae","all","NC_035068.1",58039
"1494","NC_035069","Pinus sylvestris","Pinus","Pinaceae","all","NC_035069.1",3349
"1495","NC_035140","Cistanthe longiscapa","Cistanthe","Montiaceae","full+trnL","NC_035140.1",339208
"1496","NC_035143","Ocimum basilicum","Ocimum","Lamiaceae","full+trnL","NC_035143.1",39350
"1497","NC_035154","Dendrobium moniliforme","Dendrobium","Orchidaceae","full+barcode","NC_035154.1",142614
"1498","NC_035224","Saccharum officinarum","Saccharum","Poaceae","full+barcode","NC_035224.1",4547
"1499","NC_035225","Silene wilfordii","Silene","Caryophyllaceae","full+trnL","NC_035225.1",1850527
"1500","NC_035226","Silene capitata","Silene","Caryophyllaceae","full+trnL","NC_035226.1",1850528
"1501","NC_035228","Caragana kozlowii","Caragana","Fabaceae","all","NC_035228.1",1641311
"1502","NC_035229","Caragana korshinskii","Caragana","Fabaceae","all","NC_035229.1",220689
"1503","NC_035233","Salvia japonica","Salvia","Lamiaceae","all","NC_035233.1",395340
"1504","NC_035234","Abelmoschus esculentus","Abelmoschus","Malvaceae","all","NC_035234.1",455045
"1505","NC_035235","Anacardium occidentale","Anacardium","Anacardiaceae","all","NC_035235.1",171929
"1506","NC_035236","Cinnamomum verum","Cinnamomum","Lauraceae","all","NC_035236.1",128608
"1507","NC_035237","Ficus carica","Ficus","Moraceae","all","NC_035237.1",3494
"1508","NC_035238","Litchi chinensis","Litchi","Sapindaceae","all","NC_035238.1",151069
"1509","NC_035239","Mangifera indica","Mangifera","Anacardiaceae","all","NC_035239.1",29780
"1510","NC_035240","Punica granatum","Punica","Lythraceae","all","NC_035240.1",22663
"1511","NC_035303","Mutarda arvensis","Mutarda","Brassicaceae","full+barcode","NC_035303.1",2982281
"1512","NC_035320","Vanilla aphylla","Vanilla","Orchidaceae","full","NC_035320.1",53061
"1513","NC_035321","Dendrobium primulinum","Dendrobium","Orchidaceae","full+barcode","NC_035321.1",169180
"1514","NC_035322","Dendrobium aphyllum","Dendrobium","Orchidaceae","full+barcode","NC_035322.1",154290
"1515","NC_035323","Dendrobium brymerianum","Dendrobium","Orchidaceae","full+barcode","NC_035323.1",179350
"1516","NC_035324","Dendrobium denneanum","Dendrobium","Orchidaceae","full+barcode","NC_035324.1",181002
"1517","NC_035325","Dendrobium devonianum","Dendrobium","Orchidaceae","full+barcode","NC_035325.1",142612
"1518","NC_035326","Dendrobium falconeri","Dendrobium","Orchidaceae","full+barcode","NC_035326.1",172645
"1519","NC_035327","Dendrobium gratiosissimum","Dendrobium","Orchidaceae","full+barcode","NC_035327.1",142613
"1520","NC_035328","Dendrobium hercoglossum","Dendrobium","Orchidaceae","full+barcode","NC_035328.1",161867
"1521","NC_035329","Dendrobium wardianum","Dendrobium","Orchidaceae","full+barcode","NC_035329.1",172646
"1522","NC_035330","Dendrobium wilsonii","Dendrobium","Orchidaceae","full+barcode","NC_035330.1",363749
"1523","NC_035331","Dendrobium crepidatum","Dendrobium","Orchidaceae","full+barcode","NC_035331.1",154289
"1524","NC_035332","Dendrobium salaccense","Dendrobium","Orchidaceae","full+barcode","NC_035332.1",179356
"1525","NC_035333","Dendrobium spatella","Dendrobium","Orchidaceae","full+barcode","NC_035333.1",1354201
"1526","NC_035334","Dendrobium parciflorum","Dendrobium","Orchidaceae","full+barcode","NC_035334.1",467197
"1527","NC_035335","Dendrobium henryi","Dendrobium","Orchidaceae","full+barcode","NC_035335.1",467198
"1528","NC_035336","Dendrobium chrysanthum","Dendrobium","Orchidaceae","full+barcode","NC_035336.1",154291
"1529","NC_035337","Dendrobium jenkinsii","Dendrobium","Orchidaceae","full+barcode","NC_035337.1",161868
"1530","NC_035338","Dendrobium lohohense","Dendrobium","Orchidaceae","full+barcode","NC_035338.1",161870
"1531","NC_035339","Dendrobium parishii","Dendrobium","Orchidaceae","full+barcode","NC_035339.1",469460
"1532","NC_035340","Dendrobium ellipsophyllum","Dendrobium","Orchidaceae","full+barcode","NC_035340.1",179353
"1533","NC_035341","Dendrobium xichouense","Dendrobium","Orchidaceae","full+barcode","NC_035341.1",1354204
"1534","NC_035342","Dendrobium fimbriatum","Dendrobium","Orchidaceae","full+barcode","NC_035342.1",117953
"1535","NC_035343","Dendrobium exile","Dendrobium","Orchidaceae","full+barcode","NC_035343.1",179354
"1536","NC_035344","Dendrobium fanjingshanense","Dendrobium","Orchidaceae","full+barcode","NC_035344.1",1354197
"1537","NC_035346","Dichrostachys cinerea","Dichrostachys","Fabaceae","all","NC_035346.1",196665
"1538","NC_035347","Faidherbia albida","Faidherbia","Fabaceae","all","NC_035347.1",138055
"1539","NC_035348","Pararchidendron pruinosum","Pararchidendron","Fabaceae","all","NC_035348.1",138062
"1540","NC_035413","Platycarya strobilacea","Platycarya","Juglandaceae","all","NC_035413.1",91224
"1541","NC_035414","Viscum coloratum","Viscum","Viscaceae","full+trnL","NC_035414.1",159976
"1542","NC_035415","Drosera regia","Drosera","Droseraceae","all","NC_035415.1",4371
"1543","NC_035416","Aldrovanda vesiculosa","Aldrovanda","Droseraceae","all","NC_035416.1",173386
"1544","NC_035417","Dionaea muscipula","Dionaea","Droseraceae","full+trnL","NC_035417.1",4362
"1545","NC_035418","Sinojackia xylocarpa","Sinojackia","Styracaceae","all","NC_035418.1",168123
"1546","NC_035492","Themeda quadrivalvis","Themeda","Poaceae","all","NC_035492.1",167343
"1547","NC_035499","Zantedeschia aethiopica","Zantedeschia","Araceae","full+trnL","NC_035499.1",69721
"1548","NC_035500","Fragaria nipponica","Fragaria","Rosaceae","all","NC_035500.1",101012
"1549","NC_035501","Fragaria orientalis","Fragaria","Rosaceae","all","NC_035501.1",101013
"1550","NC_035502","Hydrocotyle sibthorpioides","Hydrocotyle","Araliaceae","full+trnL","NC_035502.1",4049
"1551","NC_035505","Aloe maculata","Aloe","Asphodelaceae","full+trnL","NC_035505.1",1155789
"1552","NC_035506","Aloe vera","Aloe","Asphodelaceae","full+trnL","NC_035506.1",34199
"1553","NC_035511","Hesperis matronalis","Hesperis","Brassicaceae","all","NC_035511.1",264418
"1554","NC_035512","Hesperis sylvestris","Hesperis","Brassicaceae","all","NC_035512.1",2017959
"1555","NC_035513","Lobularia libyca","Lobularia","Brassicaceae","all","NC_035513.1",358669
"1556","NC_035514","Morettia canescens","Morettia","Brassicaceae","all","NC_035514.1",369024
"1557","NC_035515","Braya humilis","Braya","Brassicaceae","all","NC_035515.1",98020
"1558","NC_035516","Cressa cretica","Cressa","Convolvulaceae","full+barcode","NC_035516.1",1465651
"1559","NC_035517","Alloeochaete namuliensis","Alloeochaete","Poaceae","all","NC_035517.1",2017767
"1560","NC_035518","Alloeochaete oreogena","Alloeochaete","Poaceae","all","NC_035518.1",2017768
"1561","NC_035519","Alloeochaete uluguruensis","Alloeochaete","Poaceae","all","NC_035519.1",2017769
"1562","NC_035520","Amphipogon caricinus","Amphipogon","Poaceae","all","NC_035520.1",65968
"1563","NC_035521","Amphipogon turbinatus","Amphipogon","Poaceae","all","NC_035521.1",1400639
"1564","NC_035522","Chasmanthium laxum","Chasmanthium","Poaceae","all","NC_035522.1",40583
"1565","NC_035523","Crinipes abyssinicus","Crinipes","Poaceae","all","NC_035523.1",2017770
"1566","NC_035524","Crinipes longifolius","Crinipes","Poaceae","all","NC_035524.1",2017771
"1567","NC_035525","Dichaetaria wightii","Dichaetaria","Poaceae","all","NC_035525.1",2017772
"1568","NC_035526","Dregeochloa pumila","Dregeochloa","Poaceae","all","NC_035526.1",59279
"1569","NC_035527","Elytrophorus globularis","Elytrophorus","Poaceae","all","NC_035527.1",57053
"1570","NC_035528","Pratochloa walteri","Pratochloa","Poaceae","all","NC_035528.1",2875320
"1571","NC_035529","Eriachne mucronata","Eriachne","Poaceae","all","NC_035529.1",221758
"1572","NC_035530","Isachne albens","Isachne","Poaceae","all","NC_035530.1",798323
"1573","NC_035531","Limnopoa meeboldii","Limnopoa","Poaceae","all","NC_035531.1",2017773
"1574","NC_035532","Triraphis longipes","Triraphis","Poaceae","all","NC_035532.1",2017774
"1575","NC_035533","Phaenanthoecium koestlinii","Phaenanthoecium","Poaceae","all","NC_035533.1",2017775
"1576","NC_035534","Pheidochloa gracilis","Pheidochloa","Poaceae","all","NC_035534.1",221755
"1577","NC_035535","Styppeiochloa gynoglossa","Styppeiochloa","Poaceae","all","NC_035535.1",57205
"1578","NC_035548","Hippophae rhamnoides","Hippophae","Elaeagnaceae","all","NC_035548.1",193516
"1579","NC_035551","Phellodendron amurense","Phellodendron","Rutaceae","all","NC_035551.1",68554
"1580","NC_035566","Chaenomeles japonica","Chaenomeles","Rosaceae","all","NC_035566.1",320146
"1581","NC_035570","Lilium henryi","Lilium","Liliaceae","all","NC_035570.1",4689
"1582","NC_035574","Camellia azalea","Camellia","Theaceae","all","NC_035574.1",536625
"1583","NC_035588","Lilium brownii","Lilium","Liliaceae","all","NC_035588.1",82312
"1584","NC_035589","Lilium lancifolium","Lilium","Liliaceae","all","NC_035589.1",79002
"1585","NC_035590","Lilium leucanthum","Lilium","Liliaceae","all","NC_035590.1",85370
"1586","NC_035591","Lilium duchartrei","Lilium","Liliaceae","all","NC_035591.1",82317
"1587","NC_035592","Lilium bakerianum","Lilium","Liliaceae","all","NC_035592.1",89789
"1588","NC_035617","Aneura pinguis","Aneura","Aneuraceae","full+trnL","NC_035617.1",39026
"1589","NC_035623","Paeonia ludlowii","Paeonia","Paeoniaceae","all","NC_035623.1",459176
"1590","NC_035624","Platycodon grandiflorus","Platycodon","Campanulaceae","all","NC_035624.1",94286
"1591","NC_035625","Eriolobus florentinus","Eriolobus","Rosaceae","all","NC_035625.1",106552
"1592","NC_035632","Victoria cruziana","Victoria","Nymphaeaceae","all","NC_035632.2",4421
"1593","NC_035633","Barclaya longifolia","Barclaya","Nymphaeaceae","all","NC_035633.2",4412
"1594","NC_035637","Musella lasiocarpa","Musella","Musaceae","all","NC_035637.1",101617
"1595","NC_035657","Magnolia insignis","Magnolia","Magnoliaceae","all","NC_035657.1",86749
"1596","NC_035661","Barthea barthei","Barthea","Melastomataceae","all","NC_035661.1",1898640
"1597","NC_035662","Hydrangea luteovenosa","Hydrangea","Hydrangeaceae","all","NC_035662.1",859262
"1598","NC_035671","Malus trilobata","Malus","Rosaceae","all","NC_035671.1",106570
"1599","NC_035672","Macromeles tschonoskii","Macromeles","Rosaceae","all","NC_035672.1",106571
"1600","NC_035680","Nymphaea ampla","Nymphaea","Nymphaeaceae","all","NC_035680.2",299116
"1601","NC_035718","Paeonia delavayi","Paeonia","Paeoniaceae","all","NC_035718.1",40707
"1602","NC_035719","Gentiana macrophylla","Gentiana","Gentianaceae","all","NC_035719.1",50765
"1603","NC_035723","Musa itinerans","Musa","Musaceae","all","NC_035723.1",574487
"1604","NC_035724","Solanum dulcamara","Solanum","Solanaceae","all","NC_035724.1",45834
"1605","NC_035727","Citrullus colocynthis","Citrullus","Cucurbitaceae","full+trnL","NC_035727.1",252529
"1606","NC_035729","Caryopteris mongholica","Caryopteris","Lamiaceae","all","NC_035729.1",201515
"1607","NC_035732","Coelachne africana","Coelachne","Poaceae","all","NC_035732.1",1262102
"1608","NC_035738","Athyrium anisopterum","Athyrium","Athyriaceae","full+trnL","NC_035738.1",2023749
"1609","NC_035739","Lepisorus clathratus","Lepisorus","Polypodiaceae","full+trnL","NC_035739.1",253749
"1610","NC_035742","Solanum pennellii","Solanum","Solanaceae","all","NC_035742.1",28526
"1611","NC_035743","Salix oreinoma","Salix","Salicaceae","all","NC_035743.1",2019967
"1612","NC_035744","Salix tetrasperma","Salix","Salicaceae","all","NC_035744.1",75722
"1613","NC_035750","Miscanthus floridulus","Miscanthus","Poaceae","full+barcode","NC_035750.1",154761
"1614","NC_035751","Miscanthus junceus","Miscanthus","Poaceae","full+barcode","NC_035751.1",106893
"1615","NC_035753","Miscanthus x giganteus","Miscanthus","Poaceae","full+barcode","NC_035753.1",183674
"1616","NC_035760","Siphocampylus krauseanus","Siphocampylus","Campanulaceae","all","NC_035760.1",1795068
"1617","NC_035761","Centropogon nigricans","Centropogon","Campanulaceae","all","NC_035761.1",434394
"1618","NC_035762","Burmeistera sodiroana","Burmeistera","Campanulaceae","all","NC_035762.1",434381
"1619","NC_035763","Burmeistera smaragdi","Burmeistera","Campanulaceae","all","NC_035763.1",434380
"1620","NC_035764","Burmeistera rubrosepala","Burmeistera","Campanulaceae","all","NC_035764.1",434379
"1621","NC_035765","Burmeistera resupinata","Burmeistera","Campanulaceae","all","NC_035765.1",434377
"1622","NC_035766","Burmeistera pirrensis","Burmeistera","Campanulaceae","all","NC_035766.1",1899344
"1623","NC_035767","Burmeistera parviflora","Burmeistera","Campanulaceae","all","NC_035767.1",1582538
"1624","NC_035768","Burmeistera oyacachensis","Burmeistera","Campanulaceae","all","NC_035768.1",434375
"1625","NC_035769","Burmeistera lutosa","Burmeistera","Campanulaceae","all","NC_035769.1",434373
"1626","NC_035770","Burmeistera loejtnantii","Burmeistera","Campanulaceae","all","NC_035770.1",1899343
"1627","NC_035771","Burmeistera fuscoapicata","Burmeistera","Campanulaceae","all","NC_035771.1",1902834
"1628","NC_035772","Burmeistera domingensis","Burmeistera","Campanulaceae","all","NC_035772.1",368665
"1629","NC_035773","Burmeistera cylindrocarpa","Burmeistera","Campanulaceae","all","NC_035773.1",434370
"1630","NC_035774","Burmeistera cyclostigmata","Burmeistera","Campanulaceae","all","NC_035774.1",368664
"1631","NC_035775","Burmeistera crispiloba","Burmeistera","Campanulaceae","all","NC_035775.1",360843
"1632","NC_035776","Burmeistera ceratocarpa","Burmeistera","Campanulaceae","all","NC_035776.1",434368
"1633","NC_035777","Burmeistera borjensis","Burmeistera","Campanulaceae","all","NC_035777.1",434367
"1634","NC_035778","Burmeistera auriculata","Burmeistera","Campanulaceae","all","NC_035778.1",434366
"1635","NC_035802","Cinnamomum micranthum","Cinnamomum","Lauraceae","all","NC_035802.1",337465
"1636","NC_035807","Schizaea elegans","Schizaea","Schizaeaceae","full+trnL","NC_035807.1",180990
"1637","NC_035808","Schizaea pectinata","Schizaea","Schizaeaceae","full+trnL","NC_035808.1",148576
"1638","NC_035823","Ulva flexuosa","Ulva","Ulvaceae","full","NC_035823.1",83791
"1639","NC_035829","Pelatantheria scolopendrifolia","Pelatantheria","Orchidaceae","full+barcode","NC_035829.1",331189
"1640","NC_035830","Gastrochilus fuscopunctatus","Gastrochilus","Orchidaceae","full+barcode","NC_035830.1",2025843
"1641","NC_035831","Thrixspermum japonicum","Thrixspermum","Orchidaceae","full+barcode","NC_035831.2",1499537
"1642","NC_035832","Oberonia japonica","Oberonia","Orchidaceae","all","NC_035832.1",1306921
"1643","NC_035833","Gastrochilus japonicus","Gastrochilus","Orchidaceae","all","NC_035833.1",225553
"1644","NC_035834","Habenaria radiata","Habenaria","Orchidaceae","full+trnL","NC_035834.1",342001
"1645","NC_035835","Thelypteris prolifera","Thelypteris","Thelypteridaceae","full+trnL","NC_035835.1",1132527
"1646","NC_035836","Athyrium sheareri","Athyrium","Athyriaceae","full+trnL","NC_035836.1",65703
"1647","NC_035837","Asplenium pekinense","Asplenium","Aspleniaceae","full+trnL","NC_035837.1",265675
"1648","NC_035838","Asplenium prolongatum","Asplenium","Aspleniaceae","full+trnL","NC_035838.1",78457
"1649","NC_035839","Athyrium sinense","Athyrium","Athyriaceae","full+trnL","NC_035839.1",672195
"1650","NC_035840","Austroblechnum melanocaulon","Austroblechnum","Blechnaceae","full+trnL","NC_035840.1",1329983
"1651","NC_035841","Athyrium opacum","Athyrium","Athyriaceae","full+trnL","NC_035841.1",872479
"1652","NC_035842","Christella appendiculata","Christella","Thelypteridaceae","full+trnL","NC_035842.1",2023766
"1653","NC_035843","Cystopteris chinensis","Cystopteris","Cystopteridaceae","full+trnL","NC_035843.1",1565408
"1654","NC_035844","Deparia lancea","Deparia","Athyriaceae","full+trnL","NC_035844.1",104666
"1655","NC_035845","Deparia pycnosora","Deparia","Athyriaceae","full+trnL","NC_035845.1",65729
"1656","NC_035846","Deparia viridifrons","Deparia","Athyriaceae","full+trnL","NC_035846.1",65730
"1657","NC_035847","Diplaziopsis cavaleriana","Diplaziopsis","Diplaziopsidaceae","full+trnL","NC_035847.1",208742
"1658","NC_035848","Diplaziopsis javanica","Diplaziopsis","Diplaziopsidaceae","full+trnL","NC_035848.1",1030390
"1659","NC_035849","Diplazium bellum","Diplazium","Athyriaceae","full+trnL","NC_035849.1",1392673
"1660","NC_035850","Diplazium dilatatum","Diplazium","Athyriaceae","full+trnL","NC_035850.1",86694
"1661","NC_035851","Diplazium dushanense","Diplazium","Athyriaceae","full+trnL","NC_035851.1",2023767
"1662","NC_035852","Diplazium striatum","Diplazium","Athyriaceae","full+trnL","NC_035852.1",1392717
"1663","NC_035854","Dryopteris decipiens","Dryopteris","Dryopteridaceae","full+trnL","NC_035854.1",346293
"1664","NC_035855","Homalosorus pycnocarpos","Homalosorus","Diplaziopsidaceae","full+trnL","NC_035855.1",86699
"1665","NC_035856","Hymenasplenium unilaterale","Hymenasplenium","Aspleniaceae","full+trnL","NC_035856.1",147939
"1666","NC_035857","Hypodematium crenatum","Hypodematium","Hypodematiaceae","full+trnL","NC_035857.1",65731
"1667","NC_035858","Macrothelypteris torresiana","Macrothelypteris","Thelypteridaceae","full+trnL","NC_035858.1",173909
"1668","NC_035859","Matteuccia struthiopteris","Matteuccia","Onocleaceae","full+trnL","NC_035859.1",3277
"1669","NC_035860","Onoclea sensibilis","Onoclea","Onocleaceae","full+trnL","NC_035860.1",3281
"1670","NC_035861","Phegopteris aurita","Phegopteris","Thelypteridaceae","full+trnL","NC_035861.1",173912
"1671","NC_035862","Rhachidosorus consimilis","Rhachidosorus","Rhachidosoraceae","full+trnL","NC_035862.1",208758
"1672","NC_035863","Stegnogramma sagittifolia","Stegnogramma","Thelypteridaceae","full+trnL","NC_035863.1",1132989
"1673","NC_035864","Woodsia macrochlaena","Woodsia","Woodsiaceae","full+trnL","NC_035864.1",872913
"1674","NC_035865","Woodsia polystichoides","Woodsia","Woodsiaceae","full+trnL","NC_035865.1",32120
"1675","NC_035872","Circaeaster agrestis","Circaeaster","Circaeasteraceae","all","NC_035872.1",39288
"1676","NC_035873","Kingdonia uniflora","Kingdonia","Circaeasteraceae","all","NC_035873.1",39325
"1677","NC_035875","Ambrosia artemisiifolia","Ambrosia","Asteraceae","all","NC_035875.1",4212
"1678","NC_035876","Echinacanthus lofuensis","Echinacanthus","Acanthaceae","all","NC_035876.1",2029165
"1679","NC_035878","Vitis acerifolia","Vitis","Vitaceae","full+barcode","NC_035878.1",506485
"1680","NC_035880","Prunus humilis","Prunus","Rosaceae","full+barcode","NC_035880.1",434060
"1681","NC_035882","Cinnamomum camphora","Cinnamomum","Lauraceae","all","NC_035882.1",13429
"1682","NC_035884","Conyza bonariensis","Conyza","Asteraceae","all","NC_035884.1",91242
"1683","NC_035891","Prunus cerasoides","Prunus","Rosaceae","all","NC_035891.1",378224
"1684","NC_035892","Aconitum pseudolaeve","Aconitum","Ranunculaceae","all","NC_035892.1",1351828
"1685","NC_035894","Aconitum longecassidatum","Aconitum","Ranunculaceae","all","NC_035894.1",1045224
"1686","NC_035895","Alpinia oxyphylla","Alpinia","Zingiberaceae","full+barcode","NC_035895.1",125261
"1687","NC_035896","Daphne kiusiana","Daphne","Thymelaeaceae","all","NC_035896.1",232788
"1688","NC_035941","Decaisnea insignis","Decaisnea","Lardizabalaceae","all","NC_035941.1",161261
"1689","NC_035952","Nicotiana attenuata","Nicotiana","Solanaceae","all","NC_035952.1",49451
"1690","NC_035953","Lindera glauca","Lindera","Lauraceae","all","NC_035953.1",332435
"1691","NC_035955","Aesculus wangii","Aesculus","Sapindaceae","all","NC_035955.1",171883
"1692","NC_035956","Magnolia laevifolia","Magnolia","Magnoliaceae","all","NC_035956.1",215555
"1693","NC_035959","Gynostemma cardiospermum","Gynostemma","Cucurbitaceae","all","NC_035959.1",1739658
"1694","NC_035960","Juglans cinerea","Juglans","Juglandaceae","all","NC_035960.1",91214
"1695","NC_035961","Fragaria x ananassa","Fragaria","Rosaceae","all","NC_035961.1",3747
"1696","NC_035965","Juglans hindsii","Juglans","Juglandaceae","all","NC_035965.1",91216
"1697","NC_035966","Juglans major","Juglans","Juglandaceae","all","NC_035966.1",91217
"1698","NC_035967","Juglans nigra","Juglans","Juglandaceae","all","NC_035967.1",16719
"1699","NC_035968","Aphyllanthes monspeliensis","Aphyllanthes","Asparagaceae","all","NC_035968.1",59052
"1700","NC_035969","Asparagus schoberioides","Asparagus","Asparagaceae","full+barcode","NC_035969.1",272862
"1701","NC_035970","Maianthemum bicolor","Maianthemum","Asparagaceae","all","NC_035970.1",261434
"1702","NC_035971","Agapanthus coddii","Agapanthus","Amaryllidaceae","all","NC_035971.1",2033002
"1703","NC_035972","Anthericum ramosum","Anthericum","Asparagaceae","all","NC_035972.1",81729
"1704","NC_035973","Spondias mombin","Spondias","Anacardiaceae","all","NC_035973.1",80338
"1705","NC_035974","Citrullus amarus","Citrullus","Cucurbitaceae","full+trnL","NC_035974.1",1567104
"1706","NC_035975","Citrullus rehmii","Citrullus","Cucurbitaceae","full+trnL","NC_035975.1",260675
"1707","NC_035988","Lilium amabile","Lilium","Liliaceae","all","NC_035988.1",82311
"1708","NC_035989","Lilium callosum","Lilium","Liliaceae","all","NC_035989.1",78998
"1709","NC_035990","Lilium philadelphicum","Lilium","Liliaceae","all","NC_035990.1",84056
"1710","NC_035995","Polygonatum stenophyllum","Polygonatum","Asparagaceae","all","NC_035995.1",261425
"1711","NC_035996","Xanthorrhoea preissii","Xanthorrhoea","Asphodelaceae","all","NC_035996.1",470286
"1712","NC_035997","Barnardia japonica","Barnardia","Hyacinthaceae","all","NC_035997.1",2033023
"1713","NC_035998","Cordyline indivisa","Cordyline","Asparagaceae","all","NC_035998.1",2016532
"1714","NC_035999","Hosta minor","Hosta","Asparagaceae","all","NC_035999.1",1035810
"1715","NC_036000","Milla biflora","Milla","Asparagaceae","all","NC_036000.1",51459
"1716","NC_036001","Cassytha filiformis","Cassytha","Lauraceae","full+barcode","NC_036001.1",121073
"1717","NC_036002","Cryptocarya chinensis","Cryptocarya","Lauraceae","full+barcode","NC_036002.1",128609
"1718","NC_036003","Neocinnamomum delavayi","Neocinnamomum","Lauraceae","full+barcode","NC_036003.1",684742
"1719","NC_036009","Vitis mustangensis","Vitis","Vitaceae","full+barcode","NC_036009.1",756011
"1720","NC_036010","Pedicularis cheilanthifolia","Pedicularis","Orobanchaceae","all","NC_036010.1",216510
"1721","NC_036014","Zostera marina","Zostera","Zosteraceae","full","NC_036014.1",29655
"1722","NC_036017","Bupleurum boissieuanum","Bupleurum","Apiaceae","all","NC_036017.1",496568
"1723","NC_036019","Euonymus schensianus","Euonymus","Celastraceae","all","NC_036019.1",2039006
"1724","NC_036021","Tigridiopalma magnifica","Tigridiopalma","Melastomataceae","all","NC_036021.1",1671323
"1725","NC_036036","Hypolytrum nemorum","Hypolytrum","Cyperaceae","all","NC_036036.1",76453
"1726","NC_036037","Carex neurocarpa","Carex","Cyperaceae","full+trnL","NC_036037.1",432999
"1727","NC_036040","Populus lasiocarpa","Populus","Salicaceae","all","NC_036040.1",77070
"1728","NC_036052","Camptotheca acuminata","Camptotheca","Nyssaceae","all","NC_036052.1",16922
"1729","NC_036061","Bergenia scopulosa","Bergenia","Saxifragaceae","all","NC_036061.1",1397840
"1730","NC_036069","Sinowilsonia henryi","Sinowilsonia","Hamamelidaceae","all","NC_036069.1",51004
"1731","NC_036099","Dodonaea viscosa","Dodonaea","Sapindaceae","full+barcode","NC_036099.1",151065
"1732","NC_036100","Primulina eburnea","Primulina","Gesneriaceae","all","NC_036100.1",1245227
"1733","NC_036101","Primulina liboensis","Primulina","Gesneriaceae","all","NC_036101.1",1205707
"1734","NC_036102","Sophora alopecuroides","Sophora","Fabaceae","all","NC_036102.1",200492
"1735","NC_036105","Vitis x champinii","Vitis","Vitaceae","full+barcode","NC_036105.1",884146
"1736","NC_036109","Tibetia liangshanensis","Tibetia","Fabaceae","all","NC_036109.1",1915067
"1737","NC_036110","Bunias erucago","Bunias","Brassicaceae","full+barcode","NC_036110.1",763953
"1738","NC_036111","Bunias orientalis","Bunias","Brassicaceae","full+barcode","NC_036111.1",358661
"1739","NC_036112","Stipagrostis hirtigluma","Stipagrostis","Poaceae","all","NC_036112.1",348281
"1740","NC_036113","Loudetia simplex","Loudetia","Poaceae","all","NC_036113.1",318917
"1741","NC_036114","Paspalum paniculatum","Paspalum","Poaceae","all","NC_036114.1",158147
"1742","NC_036115","Tristachya humbertii","Tristachya","Poaceae","all","NC_036115.1",1671114
"1743","NC_036116","Streptostachys asperifolia","Streptostachys","Poaceae","all","NC_036116.1",158165
"1744","NC_036117","Sartidia isaloensis","Sartidia","Poaceae","all","NC_036117.1",1478600
"1745","NC_036118","Lasiorhachis hildebrandtii","Lasiorhachis","Poaceae","all","NC_036118.1",2057680
"1746","NC_036119","Pseudolasiacis leptolomoides","Pseudolasiacis","Poaceae","all","NC_036119.1",1565112
"1747","NC_036120","Panicum pygmaeum","Panicum","Poaceae","all","NC_036120.1",1056933
"1748","NC_036121","Panicum lycopodioides","Panicum","Poaceae","all","NC_036121.1",2041602
"1749","NC_036122","Merxmuellera tsaratananensis","Merxmuellera","Poaceae","all","NC_036122.1",1671078
"1750","NC_036123","Lasiacis nigra","Lasiacis","Poaceae","all","NC_036123.1",416047
"1751","NC_036124","Hildaea pallens","Hildaea","Poaceae","all","NC_036124.1",1718245
"1752","NC_036125","Homolepis aturensis","Homolepis","Poaceae","all","NC_036125.1",997066
"1753","NC_036126","Entolasia imbricata","Entolasia","Poaceae","all","NC_036126.1",1755048
"1754","NC_036127","Echinochloa ugandensis","Echinochloa","Poaceae","all","NC_036127.1",1755046
"1755","NC_036128","Echinochloa stagnina","Echinochloa","Poaceae","all","NC_036128.1",338578
"1756","NC_036129","Axonopus ramosus","Axonopus","Poaceae","all","NC_036129.1",1262099
"1757","NC_036130","Aristida rufescens","Aristida","Poaceae","all","NC_036130.1",1485642
"1758","NC_036133","Prunus serotina","Prunus","Rosaceae","all","NC_036133.1",23207
"1759","NC_036134","Gynostemma laxiflorum","Gynostemma","Cucurbitaceae","all","NC_036134.1",2041848
"1760","NC_036135","Gynostemma caulopterum","Gynostemma","Cucurbitaceae","all","NC_036135.1",1592219
"1761","NC_036136","Gynostemma pentagynum","Gynostemma","Cucurbitaceae","all","NC_036136.1",555432
"1762","NC_036137","Ulva prolifera","Ulva","Ulvaceae","full","NC_036137.1",3117
"1763","NC_036140","Gynostemma longipes","Gynostemma","Cucurbitaceae","all","NC_036140.1",555431
"1764","NC_036141","Gynostemma burmanicum (nom. inval.)","Gynostemma","Cucurbitaceae","all","NC_036141.1",1348122
"1765","NC_036142","Gynostemma pubescens","Gynostemma","Cucurbitaceae","all","NC_036142.1",2041849
"1766","NC_036143","Phoebe zhennan","Phoebe","Lauraceae","all","NC_036143.1",943101
"1767","NC_036151","Lessertia frutescens","Lessertia","Fabaceae","all","NC_036151.1",47091
"1768","NC_036152","Aristolochia contorta","Aristolochia","Aristolochiaceae","all","NC_036152.1",266420
"1769","NC_036153","Aristolochia debilis","Aristolochia","Aristolochiaceae","full+trnL","NC_036153.1",158541
"1770","NC_036221","Adenophora divaricata","Adenophora","Campanulaceae","all","NC_036221.1",82271
"1771","NC_036222","Adenophora erecta","Adenophora","Campanulaceae","all","NC_036222.1",1049775
