"","accession","species","genus","family","source","accession.version","taxid"
"11095","NC_081647","Tillandsia extensa","Tillandsia","Bromeliaceae","all","NC_081647.1",1842907
"11096","NC_081648","Tillandsia fasciculata","Tillandsia","Bromeliaceae","all","NC_081648.1",220113
"11097","NC_081649","Tillandsia filifolia","Tillandsia","Bromeliaceae","all","NC_081649.1",588395
"11098","NC_081650","Tillandsia floribunda","Tillandsia","Bromeliaceae","all","NC_081650.1",1908573
"11099","NC_081651","Tillandsia fuchsii","Tillandsia","Bromeliaceae","all","NC_081651.1",1842910
"11100","NC_081652","Tillandsia funckiana","Tillandsia","Bromeliaceae","all","NC_081652.1",49889
"11101","NC_081653","Tillandsia gardneri","Tillandsia","Bromeliaceae","all","NC_081653.1",294056
"11102","NC_081654","Tillandsia geminiflora","Tillandsia","Bromeliaceae","all","NC_081654.1",49890
"11103","NC_081655","Tillandsia grossispicata","Tillandsia","Bromeliaceae","all","NC_081655.1",3051566
"11104","NC_081656","Tillandsia hammeri","Tillandsia","Bromeliaceae","all","NC_081656.1",3051567
"11105","NC_081657","Tillandsia harrisii","Tillandsia","Bromeliaceae","all","NC_081657.1",2708212
"11106","NC_081658","Vriesea heliconioides","Vriesea","Bromeliaceae","all","NC_081658.1",3155939
"11107","NC_081659","Tillandsia heterophylla","Tillandsia","Bromeliaceae","all","NC_081659.1",294059
"11108","NC_081660","Tillandsia hildae","Tillandsia","Bromeliaceae","all","NC_081660.1",106481
"11109","NC_081661","Tillandsia hintoniana","Tillandsia","Bromeliaceae","all","NC_081661.1",3051568
"11110","NC_081662","Tillandsia hondurensis","Tillandsia","Bromeliaceae","all","NC_081662.1",2708215
"11111","NC_081663","Tillandsia huarazensis","Tillandsia","Bromeliaceae","all","NC_081663.1",2708216
"11112","NC_081664","Tillandsia hubertiana","Tillandsia","Bromeliaceae","all","NC_081664.1",3051569
"11113","NC_081665","Tillandsia incarnata","Tillandsia","Bromeliaceae","all","NC_081665.1",2709153
"11114","NC_081666","Tillandsia inopinata","Tillandsia","Bromeliaceae","all","NC_081666.1",2014390
"11115","NC_081667","Tillandsia intermedia","Tillandsia","Bromeliaceae","all","NC_081667.1",622465
"11116","NC_081668","Tillandsia ionantha","Tillandsia","Bromeliaceae","all","NC_081668.1",294061
"11117","NC_081669","Tillandsia jaguactalensis","Tillandsia","Bromeliaceae","all","NC_081669.1",3051570
"11118","NC_081670","Tillandsia jaliscomonticola","Tillandsia","Bromeliaceae","all","NC_081670.1",2708219
"11119","NC_081671","Tillandsia joel-mandimboensis","Tillandsia","Bromeliaceae","all","NC_081671.1",3051571
"11120","NC_081672","Tillandsia juncea","Tillandsia","Bromeliaceae","all","NC_081672.1",294064
"11121","NC_081673","Tillandsia kirchhoffiana","Tillandsia","Bromeliaceae","all","NC_081673.1",588392
"11122","NC_081674","Tillandsia klausii","Tillandsia","Bromeliaceae","all","NC_081674.1",294066
"11123","NC_081675","Tillandsia krahnii","Tillandsia","Bromeliaceae","all","NC_081675.1",2708221
"11124","NC_081676","Tillandsia lajensis","Tillandsia","Bromeliaceae","all","NC_081676.1",1908577
"11125","NC_081677","Tillandsia landbeckii","Tillandsia","Bromeliaceae","all","NC_081677.1",1908578
"11126","NC_081678","Tillandsia langlasseana","Tillandsia","Bromeliaceae","all","NC_081678.1",2014391
"11127","NC_081679","Tillandsia divaricata","Tillandsia","Bromeliaceae","all","NC_081679.1",294068
"11128","NC_081680","Tillandsia lautneri","Tillandsia","Bromeliaceae","all","NC_081680.1",2014393
"11129","NC_081681","Tillandsia leiboldiana","Tillandsia","Bromeliaceae","all","NC_081681.1",1842917
"11130","NC_081682","Tillandsia limbata","Tillandsia","Bromeliaceae","all","NC_081682.1",1842918
"11131","NC_081683","Tillandsia lotteae","Tillandsia","Bromeliaceae","all","NC_081683.1",1908581
"11132","NC_081684","Tillandsia lucida","Tillandsia","Bromeliaceae","all","NC_081684.1",2014394
"11133","NC_081685","Tillandsia lymanii","Tillandsia","Bromeliaceae","all","NC_081685.1",1908582
"11134","NC_081686","Tillandsia macdougallii","Tillandsia","Bromeliaceae","all","NC_081686.1",588390
"11135","NC_081687","Tillandsia machupicchuensis","Tillandsia","Bromeliaceae","all","NC_081687.1",3051572
"11136","NC_081688","Tillandsia macrochlamys","Tillandsia","Bromeliaceae","all","NC_081688.1",3051573
"11137","NC_081689","Tillandsia magnusiana","Tillandsia","Bromeliaceae","all","NC_081689.1",622466
"11138","NC_081690","Tillandsia makoyana","Tillandsia","Bromeliaceae","all","NC_081690.1",588389
"11139","NC_081691","Tillandsia marnieri-lapostollei","Tillandsia","Bromeliaceae","all","NC_081691.1",1842920
"11140","NC_081692","Tillandsia maya","Tillandsia","Bromeliaceae","all","NC_081692.1",3051574
"11141","NC_081693","Tillandsia may-patii","Tillandsia","Bromeliaceae","all","NC_081693.1",1842921
"11142","NC_081694","Tillandsia micans","Tillandsia","Bromeliaceae","all","NC_081694.1",3051575
"11143","NC_081695","Tillandsia multicaulis","Tillandsia","Bromeliaceae","all","NC_081695.1",294073
"11144","NC_081696","Tillandsia neglecta","Tillandsia","Bromeliaceae","all","NC_081696.1",2708226
"11145","NC_081697","Tillandsia nicolasensis","Tillandsia","Bromeliaceae","all","NC_081697.1",1842923
"11146","NC_081698","Tillandsia nidus","Tillandsia","Bromeliaceae","all","NC_081698.1",3051576
"11147","NC_081699","Tillandsia oaxacana","Tillandsia","Bromeliaceae","all","NC_081699.1",588388
"11148","NC_081700","Tillandsia ovatispicata","Tillandsia","Bromeliaceae","all","NC_081700.1",3051577
"11149","NC_081701","Tillandsia paleacea","Tillandsia","Bromeliaceae","all","NC_081701.1",1908586
"11150","NC_081702","Tillandsia parryi","Tillandsia","Bromeliaceae","all","NC_081702.1",2014398
"11151","NC_081703","Tillandsia paucifolia","Tillandsia","Bromeliaceae","all","NC_081703.1",405631
"11152","NC_081704","Viridantha plumosa","Viridantha","Bromeliaceae","all","NC_081704.1",294097
"11153","NC_081705","Tillandsia polystachia","Tillandsia","Bromeliaceae","all","NC_081705.1",1093659
"11154","NC_081706","Tillandsia prodigiosa","Tillandsia","Bromeliaceae","all","NC_081706.1",588387
"11155","NC_081707","Tillandsia propagulifera","Tillandsia","Bromeliaceae","all","NC_081707.1",1842927
"11156","NC_081708","Tillandsia pruinosa","Tillandsia","Bromeliaceae","all","NC_081708.1",482610
"11157","NC_081709","Tillandsia pseudobaileyi","Tillandsia","Bromeliaceae","all","NC_081709.1",405632
"11158","NC_081710","Tillandsia pseudo-floribunda","Tillandsia","Bromeliaceae","all","NC_081710.1",3051578
"11159","NC_081711","Tillandsia pseudomicans","Tillandsia","Bromeliaceae","all","NC_081711.1",1908588
"11160","NC_081712","Tillandsia pseudooaxacana","Tillandsia","Bromeliaceae","all","NC_081712.1",3051579
"11161","NC_081713","Tillandsia quaquaflorifera","Tillandsia","Bromeliaceae","all","NC_081713.1",588386
"11162","NC_081714","Tillandsia rauhii","Tillandsia","Bromeliaceae","all","NC_081714.1",294079
"11163","NC_081715","Tillandsia rectangula","Tillandsia","Bromeliaceae","all","NC_081715.1",2136396
"11164","NC_081716","Tillandsia recurvata","Tillandsia","Bromeliaceae","all","NC_081716.1",588385
"11165","NC_081717","Tillandsia recurvifolia","Tillandsia","Bromeliaceae","all","NC_081717.1",129734
"11166","NC_081718","Tillandsia remota","Tillandsia","Bromeliaceae","all","NC_081718.1",294081
"11167","NC_081719","Tillandsia reversa","Tillandsia","Bromeliaceae","all","NC_081719.1",3051580
"11168","NC_081720","Tillandsia riohondoensis","Tillandsia","Bromeliaceae","all","NC_081720.1",3051581
"11169","NC_081721","Tillandsia roezlii","Tillandsia","Bromeliaceae","all","NC_081721.1",3051582
"11170","NC_081722","Tillandsia roland-gosselinii","Tillandsia","Bromeliaceae","all","NC_081722.1",3051583
"11171","NC_081723","Tillandsia roseospicata","Tillandsia","Bromeliaceae","all","NC_081723.1",3051584
"11172","NC_081724","Tillandsia rothii","Tillandsia","Bromeliaceae","all","NC_081724.1",3051585
"11173","NC_081725","Tillandsia rubella","Tillandsia","Bromeliaceae","all","NC_081725.1",3051586
"11174","NC_081726","Tillandsia rubroviolacea","Tillandsia","Bromeliaceae","all","NC_081726.1",3051587
"11175","NC_081727","Tillandsia seleriana","Tillandsia","Bromeliaceae","all","NC_081727.1",622467
"11176","NC_081728","Tillandsia setacea","Tillandsia","Bromeliaceae","all","NC_081728.1",1908592
"11177","NC_081729","Tillandsia sierrajuarezensis","Tillandsia","Bromeliaceae","all","NC_081729.1",588383
"11178","NC_081730","Tillandsia somnians","Tillandsia","Bromeliaceae","all","NC_081730.1",106485
"11179","NC_081731","Tillandsia spiraliflora","Tillandsia","Bromeliaceae","all","NC_081731.1",1842930
"11180","NC_081732","Tillandsia stoltenii","Tillandsia","Bromeliaceae","all","NC_081732.1",3051588
"11181","NC_081733","Tillandsia streptocarpa","Tillandsia","Bromeliaceae","all","NC_081733.1",2086496
"11182","NC_081734","Tillandsia streptophylla","Tillandsia","Bromeliaceae","all","NC_081734.1",405634
"11183","NC_081735","Tillandsia stricta","Tillandsia","Bromeliaceae","all","NC_081735.1",294083
"11184","NC_081736","Tillandsia subteres","Tillandsia","Bromeliaceae","all","NC_081736.1",3051589
"11185","NC_081737","Tillandsia suesilliae","Tillandsia","Bromeliaceae","all","NC_081737.1",2014404
"11186","NC_081738","Tillandsia supermexicana","Tillandsia","Bromeliaceae","all","NC_081738.1",2014405
"11187","NC_081739","Tillandsia tecolometl","Tillandsia","Bromeliaceae","all","NC_081739.1",2014406
"11188","NC_081740","Tillandsia tectorum","Tillandsia","Bromeliaceae","all","NC_081740.1",294085
"11189","NC_081741","Tillandsia tehuacana","Tillandsia","Bromeliaceae","all","NC_081741.1",1842931
"11190","NC_081742","Viridantha tortilis","Viridantha","Bromeliaceae","all","NC_081742.1",294098
"11191","NC_081743","Tillandsia tricolor","Tillandsia","Bromeliaceae","all","NC_081743.1",863859
"11192","NC_081744","Tillandsia ulrici","Tillandsia","Bromeliaceae","all","NC_081744.1",3051590
"11193","NC_081745","Tillandsia variabilis","Tillandsia","Bromeliaceae","all","NC_081745.1",2014407
"11194","NC_081746","Tillandsia violacea","Tillandsia","Bromeliaceae","all","NC_081746.1",2014408
"11195","NC_081747","Tillandsia welzii","Tillandsia","Bromeliaceae","all","NC_081747.1",3051591
"11196","NC_081748","Tillandsia werdermannii","Tillandsia","Bromeliaceae","all","NC_081748.1",2709155
"11197","NC_081749","Tillandsia wuelfinghoffii","Tillandsia","Bromeliaceae","all","NC_081749.1",3051592
